book_id,video_id,first_frame,last_frame,num_observations,best_crop_path,best_score,best_quality_crop_path,best_quality_score,status,count_as_book,boundary,segment_ids,mean_shelf_center_x,mean_width,mean_height
000_book_0027,000,0,16,17,crops/000015_010.jpg,0.8918,crops/000000_023.jpg,0.8277,confirmed,1,0,0,803.4487,35.7647,424.7647
000_book_0028,000,0,16,17,crops/000016_009.jpg,0.7994,crops/000000_024.jpg,0.8142,confirmed,1,0,0,819.5957,37.5882,367.7059
000_book_0029,000,0,17,18,crops/000015_012.jpg,0.9429,crops/000009_025.jpg,0.9283,confirmed,1,0,0,847.8154,55.3889,418.6667
000_book_0030,000,18,18,1,crops/000018_002.jpg,0.6152,crops/000018_002.jpg,0.0574,boundary,0,1,0,856.5861,31.0000,230.0000
000_book_0031,000,0,18,19,crops/000017_006.jpg,0.9327,crops/000000_026.jpg,0.8856,confirmed,1,0,0,882.0138,58.7368,418.6316
000_book_0032,000,0,18,19,crops/000017_007.jpg,0.9046,crops/000000_027.jpg,0.7737,confirmed,1,0,0,910.7507,48.8421,363.3684
000_book_0033,000,0,19,20,crops/000013_022.jpg,0.8629,crops/000000_028.jpg,0.8561,confirmed,1,0,0,942.8692,62.3500,342.1000
000_book_0034,000,0,19,20,crops/000017_009.jpg,0.9431,crops/000009_029.jpg,0.9249,confirmed,1,0,0,978.5942,59.5000,387.0000
000_book_0035,000,0,20,21,crops/000016_015.jpg,0.9254,crops/000009_030.jpg,0.8901,confirmed,1,0,0,1009.2883,59.2857,345.3333
000_book_0036,000,20,20,1,crops/000020_002.jpg,0.5765,crops/000020_002.jpg,0.2914,boundary,0,1,0,1020.1689,23.0000,181.0000
000_book_0037,000,0,20,21,crops/000017_011.jpg,0.9177,crops/000009_031.jpg,0.7493,confirmed,1,0,0,1038.2406,59.2857,330.2381
000_book_0038,000,0,21,22,crops/000018_008.jpg,0.9211,crops/000000_032.jpg,0.6940,confirmed,1,0,0,1069.7363,62.1818,329.7273
000_book_0039,000,21,21,1,crops/000021_001.jpg,0.5691,crops/000021_001.jpg,0.0338,boundary,0,1,0,1081.1454,35.0000,219.0000
000_book_0040,000,0,21,22,crops/000018_009.jpg,0.8936,crops/000020_005.jpg,0.7445,confirmed,1,0,0,1099.4636,64.0000,331.7273
000_book_0041,000,0,22,23,crops/000018_010.jpg,0.9354,crops/000000_035.jpg,0.8597,confirmed,1,0,0,1141.5144,68.0000,369.8261
000_book_0042,000,0,17,18,crops/000017_015.jpg,0.9282,crops/000000_034.jpg,0.8452,confirmed,1,0,0,1147.8987,74.0000,378.0556
000_book_0043,000,22,22,1,crops/000022_003.jpg,0.5790,crops/000022_003.jpg,-0.0029,boundary,0,1,0,1170.6313,22.0000,136.0000
000_book_0044,000,0,21,22,crops/000018_012.jpg,0.9253,crops/000009_035.jpg,0.8405,confirmed,1,0,0,1177.2363,69.8182,387.3182
000_book_0045,000,18,22,5,crops/000018_011.jpg,0.9400,crops/000020_007.jpg,0.8594,confirmed,1,0,0,1180.8306,49.4000,389.6000
000_book_0046,000,21,36,16,crops/000028_001.jpg,0.8856,crops/000026_001.jpg,0.7743,confirmed,1,0,0,1820.3994,88.8750,297.4375
000_book_0047,000,18,37,20,crops/000030_002.jpg,0.9019,crops/000024_002.jpg,0.7887,confirmed,1,0,0,1881.6186,91.1500,299.1000
000_book_0048,000,18,38,21,crops/000030_003.jpg,0.9074,crops/000026_003.jpg,0.8065,confirmed,1,0,0,1946.6938,88.2381,298.0476
000_book_0049,000,19,39,21,crops/000029_004.jpg,0.9003,crops/000026_004.jpg,0.8058,confirmed,1,0,0,2012.5943,85.8095,294.5714
000_book_0050,000,20,40,21,crops/000032_005.jpg,0.9073,crops/000026_005.jpg,0.7952,confirmed,1,0,0,2077.7481,83.8095,290.2381
000_book_0051,000,20,41,22,crops/000032_006.jpg,0.9072,crops/000024_006.jpg,0.7167,confirmed,1,0,0,2139.9143,84.4545,290.1818
000_book_0052,000,21,42,22,crops/000032_007.jpg,0.9116,crops/000026_007.jpg,0.7421,confirmed,1,0,0,2203.2787,81.6818,286.9091
000_book_0053,000,22,43,22,crops/000031_008.jpg,0.9109,crops/000026_008.jpg,0.7670,confirmed,1,0,0,2267.8346,84.0000,284.0000
000_book_0054,000,23,44,21,crops/000031_009.jpg,0.9141,crops/000026_009.jpg,0.7817,confirmed,1,0,0,2331.3115,86.4286,280.9048
000_book_0055,000,24,45,22,crops/000037_009.jpg,0.8997,crops/000026_010.jpg,0.7618,confirmed,1,0,0,2394.2941,86.5455,278.0000
000_book_0056,000,26,46,21,crops/000037_010.jpg,0.9008,crops/000033_011.jpg,0.7294,confirmed,1,0,0,2456.3325,83.9048,276.6190
000_book_0057,000,29,46,18,crops/000037_011.jpg,0.9026,crops/000033_012.jpg,0.7209,confirmed,1,0,0,2518.6679,86.0556,274.0556
